"""","45歳～49歳_男","45歳～49歳_女","50歳～54歳_男","50歳～54歳_女","55歳～59歳_男","55歳～59歳_女","60歳～64歳_男","60歳～64歳_女","65歳～69歳_男","65歳～69歳_女"
"総数","29160.0","32834.0","29917.0","31938.0","33871.0","36094.0","40178.0","43643.0","33101.0","37724.0"
"","","","","","","","","","",""
" 和歌山市","10784.0","12235.0","10527.0","11244.0","11611.0","12836.0","14524.0","16413.0","12695.0","14430.0"
" 海 南 市","1536.0","1690.0","1631.0","1819.0","1924.0","2006.0","2298.0","2495.0","1927.0","2187.0"
" 橋 本 市","1913.0","2310.0","2198.0","2511.0","2572.0","2564.0","2721.0","2908.0","2227.0","2272.0"
" 有 田 市","897.0","1021.0","897.0","975.0","1067.0","1146.0","1310.0","1358.0","1014.0","1127.0"
" 御 坊 市","757.0","799.0","752.0","793.0","873.0","928.0","980.0","1036.0","777.0","889.0"
" 田 辺 市","2487.0","2738.0","2506.0","2533.0","2647.0","2771.0","3037.0","3166.0","2445.0","2959.0"
" 新 宮 市","884.0","1023.0","974.0","1036.0","1122.0","1153.0","1277.0","1474.0","1045.0","1290.0"
" 紀の川市","2050.0","2299.0","2029.0","2226.0","2368.0","2462.0","2699.0","2762.0","2056.0","2285.0"
" 岩 出 市","1646.0","1906.0","1553.0","1597.0","1601.0","1700.0","1817.0","1964.0","1416.0","1479.0"
"","","","","","","","","","",""
" 紀美野町","253.0","250.0","303.0","341.0","403.0","450.0","510.0","513.0","393.0","427.0"
"","","","","","","","","","",""
" かつらぎ町","533.0","588.0","540.0","574.0","640.0","689.0","815.0","862.0","657.0","753.0"
" 九度山町","121.0","138.0","133.0","153.0","197.0","174.0","219.0","239.0","192.0","230.0"
" 高 野 町","106.0","89.0","104.0","117.0","129.0","141.0","153.0","162.0","113.0","176.0"
"","","","","","","","","","",""
" 湯 浅 町","350.0","382.0","364.0","467.0","473.0","517.0","593.0","617.0","423.0","482.0"
" 広 川 町","223.0","263.0","230.0","238.0","289.0","310.0","338.0","347.0","238.0","276.0"
" 有田川町","770.0","872.0","878.0","936.0","948.0","937.0","1004.0","1002.0","749.0","910.0"
"","","","","","","","","","",""
" 美 浜 町","279.0","294.0","274.0","250.0","284.0","314.0","278.0","348.0","266.0","308.0"
" 日 高 町","184.0","210.0","215.0","225.0","269.0","273.0","284.0","297.0","203.0","270.0"
" 由 良 町","190.0","201.0","229.0","228.0","254.0","271.0","301.0","268.0","205.0","255.0"
" 印 南 町","237.0","246.0","268.0","303.0","319.0","347.0","391.0","382.0","282.0","314.0"
" みなべ町","392.0","442.0","423.0","458.0","480.0","487.0","492.0","541.0","404.0","422.0"
" 日高川町","280.0","326.0","369.0","341.0","380.0","390.0","394.0","411.0","287.0","345.0"
"","","","","","","","","","",""
" 白 浜 町","664.0","691.0","637.0","645.0","743.0","837.0","943.0","1090.0","823.0","982.0"
" 上富田町","436.0","505.0","480.0","487.0","538.0","560.0","539.0","598.0","385.0","434.0"
" すさみ町","128.0","125.0","131.0","138.0","176.0","169.0","211.0","196.0","173.0","222.0"
"","","","","","","","","","",""
" 那智勝浦町","455.0","516.0","475.0","523.0","627.0","680.0","776.0","877.0","692.0","838.0"
" 太 地 町","69.0","111.0","103.0","106.0","110.0","122.0","147.0","154.0","113.0","144.0"
" 古座川町","76.0","64.0","82.0","88.0","113.0","119.0","153.0","154.0","126.0","149.0"
" 北 山 村","21.0","18.0","11.0","11.0","13.0","13.0","20.0","15.0","20.0","29.0"
" 串 本 町","439.0","482.0","601.0","575.0","701.0","728.0","954.0","994.0","755.0","840.0"
